number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
4225,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4276,mum,L,5,1,no,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4283,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4314,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3998,aph,L,6,1,yes,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
3067,mum,H,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3106,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3107,mum,H,1,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3108,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3170,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3176,aph,H,3,1,no,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3181,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3182,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3183,mum,H,3,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3184,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3185,mum,H,3,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3187,mum,H,3,1,no,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3189,mum,H,3,1,no,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3190,mum,H,3,1,no,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3192,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3194,mum,H,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3228,aph,H,5,1,no,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3235,aph,H,5,1,no,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3238,mum,H,5,1,no,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3243,mum,H,5,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3245,mum,H,5,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3289,aph,H,1,1,no,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3291,aph,H,1,1,no,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
